Work No,Measurement date,Standing_Water_level (m),Easting,Longitude,Latitude,Northing
GW022280,16/08/1997,1.8,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,16/02/1997,1.85,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,18/05/1995,2.46,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,16/06/1997,2.13,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,22/07/1997,2.03,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,16/11/1996,0.94,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,16/12/1993,0.79,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,17/03/1994,1.4,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,17/06/1994,1.37,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,16/01/1998,2.51,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,26/11/1998,1.24,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,14/09/1996,0.53,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,17/12/1996,1.22,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,31/03/1998,2.95,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,30/01/1995,2.11,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,29/12/1996,1.24,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,29/10/1994,1.5,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,28/12/1998,1.68,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,28/12/1994,2.13,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,28/05/1994,1.47,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,28/04/1996,2.03,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,28/02/1997,1.93,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,28/01/1997,1.63,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,24/03/1996,1.85,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,27/06/1997,2.06,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,22/12/1997,2.36,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,26/06/1998,2.92,"602,497",148.1184,-34.6476,"6,165,465"
